iter	MultiClass
0	1.311787786
1	1.250448437
2	1.220982963
3	1.168067879
4	1.152045497
5	1.102520655
6	1.067098563
7	1.03650328
8	1.006161635
9	0.9757902629
10	0.9683404924
11	0.9434392249
12	0.9369404988
13	0.9249342592
14	0.9197527068
15	0.9164743625
16	0.9105562844
17	0.9037931577
18	0.8946492329
19	0.8900882213
20	0.8786930322
21	0.8742014057
22	0.8586774266
23	0.856116337
24	0.8523680161
25	0.8356156789
26	0.8215726942
27	0.8067332772
28	0.7956754057
29	0.7792912442
30	0.7667372353
31	0.7622263371
32	0.7584415695
33	0.7553767794
34	0.7490327948
35	0.7368142456
36	0.734148195
37	0.7321797509
38	0.7273815154
39	0.7264642334
40	0.7218658169
41	0.7190437021
42	0.7050350109
43	0.6982806224
44	0.6895511544
45	0.6769466765
46	0.6721539345
47	0.670115478
48	0.6689554513
49	0.6660938033
50	0.6629373457
51	0.6518713554
52	0.6458639116
53	0.6431685818
54	0.6410968766
55	0.638881566
56	0.6377864349
57	0.6322753625
58	0.6226702944
59	0.6189219276
60	0.6176760763
61	0.6142011458
62	0.6052357344
63	0.5958766034
64	0.5922936002
65	0.5858128367
66	0.575131549
67	0.572856225
68	0.5690514871
69	0.565305751
70	0.5623840782
71	0.5589415436
72	0.5568908912
73	0.553971454
74	0.5504698963
75	0.5462024505
76	0.5384702902
77	0.5348868378
78	0.5327107831
79	0.526068096
80	0.5210510511
81	0.5142031865
82	0.506231343
83	0.5046194987
84	0.50247903
85	0.5005862212
86	0.4979709434
87	0.4944164364
88	0.4918884908
89	0.4903150931
90	0.4884297975
91	0.4824894
92	0.4805764503
93	0.4745080063
94	0.4719655204
95	0.4698895914
96	0.4668519781
97	0.4649434624
98	0.4626913103
99	0.4601973592
100	0.4576635851
101	0.4510674021
102	0.4491465524
103	0.4454780595
104	0.4410436807
105	0.4393940243
106	0.4347294484
107	0.4326621257
108	0.4309423758
109	0.4289571814
110	0.4269987296
111	0.4250302849
112	0.4237044558
113	0.4220937065
114	0.4206973241
115	0.4189237514
116	0.4176749625
117	0.4124743072
118	0.4083448806
119	0.4068311619
120	0.4047984132
121	0.4035535336
122	0.4008554313
123	0.3973681553
124	0.3950850451
125	0.3934087046
126	0.3918509863
127	0.3896609325
128	0.3853530911
129	0.3835155688
130	0.3821953586
131	0.3812400758
132	0.3794910703
133	0.3763041435
134	0.3746367153
135	0.3720573354
136	0.3706670707
137	0.3691067504
138	0.3679986937
139	0.3667184893
140	0.3656296671
141	0.364398739
142	0.363237164
143	0.361744338
144	0.3608404429
145	0.3577454271
146	0.356884914
147	0.3550780022
148	0.3538162917
149	0.3527834591
150	0.3514441439
151	0.3505218421
152	0.3494502041
153	0.3484668369
154	0.3467880896
155	0.3437011493
156	0.3427795192
157	0.3393923572
158	0.3383942443
159	0.3374246858
160	0.336425553
161	0.3350853455
162	0.3338097853
163	0.3324986928
164	0.3313297482
165	0.3305047104
166	0.3296554124
167	0.3287365431
168	0.327868295
169	0.3267817001
170	0.3256698169
171	0.3246847833
172	0.323604819
173	0.3226756044
174	0.321833421
175	0.3209243597
176	0.3195525993
177	0.3177278217
178	0.3168755072
179	0.316264481
180	0.3152046836
181	0.3138777081
182	0.3126120789
183	0.3119178696
184	0.3110217654
185	0.3095694497
186	0.3088656556
187	0.3078026982
188	0.3066672204
189	0.3059073481
190	0.3051384888
191	0.3037141529
192	0.303048416
193	0.3020489109
194	0.3011440749
195	0.3001576916
196	0.2991840173
197	0.2983152361
198	0.2949003672
199	0.2942360494
200	0.2935578139
201	0.2928599468
202	0.2921955058
203	0.2906526876
204	0.2899302324
205	0.2872248309
206	0.2864598031
207	0.2854296777
208	0.2822891561
209	0.2815328473
210	0.2807486172
211	0.2794168206
212	0.2770433252
213	0.2764285242
214	0.273763412
215	0.272505391
216	0.2702850232
217	0.2697021293
218	0.2677189498
219	0.2666937151
220	0.266051779
221	0.2651770713
222	0.264552255
223	0.2636958356
224	0.262915233
225	0.2620457098
226	0.2599594676
227	0.2592877169
228	0.2582900406
229	0.2576896638
230	0.2568454587
231	0.2562582656
232	0.2557941156
233	0.2552206446
234	0.2545759488
235	0.2540593991
236	0.2536429733
237	0.2531886722
238	0.2525079728
239	0.2519539605
240	0.2511756165
241	0.2506163713
242	0.2484969464
243	0.2476715987
244	0.2472151441
245	0.2461849838
246	0.2456488284
247	0.244954494
248	0.2441614585
249	0.2431105454
250	0.2423502272
251	0.2418559003
252	0.2400499294
253	0.2396014584
254	0.2381722905
255	0.2376921889
256	0.2372262133
257	0.2368291813
258	0.2359011118
259	0.234702994
260	0.2340564497
261	0.2334593732
262	0.2328547262
263	0.2324689563
264	0.23203169
265	0.2314752296
266	0.2295180829
267	0.2291080618
268	0.2273461152
269	0.2252458413
270	0.2237571358
271	0.2227388144
272	0.2220221006
273	0.2216144057
274	0.2211823377
275	0.2207580565
276	0.2202922952
277	0.2188218897
278	0.2184034846
279	0.2179217165
280	0.2174150119
281	0.2169586376
282	0.2163210982
283	0.2159098595
284	0.215527286
285	0.2149061694
286	0.2145020966
287	0.2139095177
288	0.2118502645
289	0.2110409779
290	0.2101117695
291	0.2094289052
292	0.2086820565
293	0.2080517937
294	0.2075529796
295	0.2071296558
296	0.2066293058
297	0.2062521146
298	0.2058630438
299	0.205418766
300	0.2049232605
301	0.2043971283
302	0.2040194051
303	0.2031880244
304	0.2028169443
305	0.2024775328
306	0.2019604799
307	0.2015704641
308	0.2010360748
309	0.2007184185
310	0.2002904546
311	0.1988047574
312	0.1984743995
313	0.1981230265
314	0.1977530092
315	0.197314703
316	0.1969312066
317	0.1962657109
318	0.1958915995
319	0.1953698514
320	0.1950149273
321	0.1946091795
322	0.194222438
323	0.1938792558
324	0.1932990754
325	0.192911561
326	0.1923434343
327	0.1908492034
328	0.1905146592
329	0.1902037162
330	0.189813809
331	0.1894755113
332	0.1891447827
333	0.1888205505
334	0.1884641919
335	0.1880010874
336	0.1876570823
337	0.1873097033
338	0.1868494501
339	0.1861575385
340	0.1858544638
341	0.1855535846
342	0.1853053888
343	0.1849074197
344	0.1845667942
345	0.1842220199
346	0.1837863797
347	0.1834335702
348	0.1830633468
349	0.1827913692
350	0.182503239
351	0.1821411575
352	0.1818382039
353	0.1816063806
354	0.1811433768
355	0.1808074736
356	0.1802706863
357	0.1799291252
358	0.1796590563
359	0.1792443871
360	0.1787177372
361	0.1774537024
362	0.1772115953
363	0.176866176
364	0.176593223
365	0.1761507954
366	0.1758797738
367	0.1747429028
368	0.1737599248
369	0.1732676952
370	0.1728461041
371	0.1725518193
372	0.1718142344
373	0.1710016074
374	0.1706809609
375	0.1703857714
376	0.1700715514
377	0.1697535833
378	0.1694555012
379	0.169184589
380	0.1688101585
381	0.1684571101
382	0.1682278312
383	0.1677955742
384	0.1675057107
385	0.1664503338
386	0.1661557467
387	0.1659197331
388	0.1656101356
389	0.1653458008
390	0.1646499229
391	0.1644183182
392	0.1633936378
393	0.1631212261
394	0.162907399
395	0.1626386649
396	0.162367903
397	0.1620866499
398	0.1617509913
399	0.1612851993
400	0.1610530833
401	0.1606958347
402	0.1603347844
403	0.1601168421
404	0.1599292543
405	0.1596788298
406	0.1594524288
407	0.159146554
408	0.1588921615
409	0.1582153587
410	0.1579172262
411	0.1577005682
412	0.1567466352
413	0.1564710146
414	0.1561896119
415	0.1558701445
416	0.155638546
417	0.1553777748
418	0.155169934
419	0.1548471561
420	0.1546634241
421	0.1544409672
422	0.1542401989
423	0.1530078531
424	0.1527526732
425	0.1525000902
426	0.1521000933
427	0.1516874854
428	0.1514562368
429	0.1511966119
430	0.1509965372
431	0.1507736334
432	0.1504670678
433	0.1493833065
434	0.1491746892
435	0.1489073254
436	0.1486761303
437	0.148445401
438	0.1476948655
439	0.1473919907
440	0.1471900116
441	0.1466784779
442	0.1463954474
443	0.1461471264
444	0.14483487
445	0.1435196396
446	0.1433486664
447	0.1430831265
448	0.1428754616
449	0.1426240173
450	0.1421323983
451	0.1416753468
452	0.1413944962
453	0.1411522485
454	0.1403875369
455	0.1401419276
456	0.1398700252
457	0.1396280745
458	0.1394406003
459	0.1392157933
460	0.1390497006
461	0.138600992
462	0.1383782887
463	0.1381746103
464	0.1378344859
465	0.137477373
466	0.1372902277
467	0.1371077401
468	0.1368115866
469	0.1363492317
470	0.136167291
471	0.1359608009
472	0.1356662087
473	0.1354843778
474	0.1353149517
475	0.1351094019
476	0.1348814901
477	0.1346691539
478	0.1345021394
479	0.134359225
480	0.1339648312
481	0.1332502052
482	0.1325854903
483	0.1324099245
484	0.132238838
485	0.132016704
486	0.1313974986
487	0.1311279648
488	0.1309391818
489	0.1307207598
490	0.1305548419
491	0.130220264
492	0.1299404175
493	0.1296844855
494	0.1295317483
495	0.1292816469
496	0.1290770825
497	0.1289002121
498	0.1284375186
499	0.1282875683
