iter	Passed	Remaining
0	128	63991
1	131	32797
2	134	22357
3	138	17147
4	142	14118
5	146	12035
6	150	10581
7	154	9482
8	156	8545
9	160	7853
10	163	7274
11	167	6819
12	171	6413
13	175	6096
14	180	5834
15	184	5586
16	188	5358
17	192	5154
18	196	4964
19	200	4817
20	204	4659
21	207	4517
22	212	4404
23	215	4279
24	219	4166
25	222	4058
26	226	3970
27	229	3874
28	233	3794
29	236	3704
30	240	3635
31	243	3563
32	247	3497
33	249	3422
34	253	3362
35	256	3300
36	259	3244
37	262	3187
38	266	3146
39	269	3095
40	273	3060
41	276	3015
42	279	2969
43	282	2927
44	285	2890
45	289	2856
46	293	2825
47	296	2795
48	300	2762
49	303	2734
50	307	2705
51	310	2676
52	313	2643
53	316	2616
54	320	2592
55	324	2570
56	327	2542
57	331	2522
58	334	2497
59	337	2476
60	338	2438
61	341	2414
62	345	2396
63	348	2373
64	351	2350
65	354	2333
66	358	2315
67	364	2314
68	368	2300
69	371	2282
70	375	2267
71	378	2248
72	381	2231
73	385	2219
74	389	2206
75	392	2191
76	396	2178
77	399	2163
78	403	2149
79	407	2140
80	411	2127
81	414	2115
82	417	2099
83	421	2086
84	424	2073
85	428	2062
86	431	2047
87	434	2035
88	437	2020
89	440	2008
90	443	1994
91	446	1980
92	449	1968
93	452	1954
94	455	1943
95	460	1936
96	463	1925
97	466	1915
98	470	1905
99	473	1895
100	477	1884
101	480	1876
102	483	1865
103	487	1856
104	490	1845
105	493	1835
106	496	1824
107	500	1818
108	504	1808
109	507	1800
110	510	1789
111	515	1784
112	518	1774
113	522	1769
114	526	1761
115	529	1753
116	533	1747
117	537	1739
118	540	1730
119	543	1722
120	547	1716
121	552	1710
122	556	1704
123	560	1698
124	563	1691
125	567	1684
126	570	1675
127	574	1669
128	577	1661
129	581	1654
130	584	1645
131	587	1639
132	590	1630
133	594	1623
134	597	1615
135	601	1608
136	604	1601
137	608	1596
138	611	1589
139	615	1583
140	619	1576
141	622	1569
142	626	1564
143	630	1557
144	633	1551
145	636	1543
146	640	1538
147	643	1531
148	646	1523
149	649	1515
150	652	1507
151	655	1500
152	658	1492
153	662	1489
154	667	1484
155	670	1478
156	673	1471
157	677	1465
158	698	1497
159	701	1490
160	704	1483
161	708	1479
162	712	1472
163	715	1466
164	718	1458
165	721	1451
166	723	1443
167	726	1436
168	729	1429
169	733	1423
170	736	1416
171	738	1409
172	742	1402
173	745	1396
174	748	1389
175	750	1381
176	753	1375
177	756	1369
178	760	1363
179	762	1356
180	766	1350
181	769	1343
182	772	1337
183	775	1331
184	777	1324
185	780	1318
186	783	1311
187	786	1305
188	789	1298
189	792	1292
190	795	1286
191	797	1279
192	800	1273
193	803	1267
194	806	1261
195	809	1255
196	812	1249
197	815	1243
198	818	1237
199	821	1232
200	824	1226
201	827	1220
202	830	1214
203	833	1209
204	836	1203
205	839	1198
206	842	1192
207	845	1186
208	848	1181
209	851	1175
210	854	1170
211	857	1164
212	860	1159
213	863	1153
214	866	1148
215	869	1142
216	872	1137
217	874	1131
218	877	1126
219	880	1120
220	882	1114
221	885	1109
222	889	1104
223	892	1099
224	895	1095
225	901	1093
226	906	1090
227	910	1086
228	914	1082
229	918	1078
230	922	1073
231	926	1070
232	930	1065
233	933	1061
234	936	1056
235	943	1055
236	947	1051
237	950	1046
238	954	1042
239	957	1037
240	960	1031
241	962	1026
242	965	1021
243	968	1015
244	970	1010
245	973	1005
246	976	1000
247	980	996
248	983	991
249	986	986
250	988	980
251	991	975
252	994	970
253	997	965
254	1000	961
255	1003	956
256	1009	954
257	1013	950
258	1016	946
259	1021	942
260	1024	938
261	1028	934
262	1031	929
263	1034	925
264	1038	920
265	1041	916
266	1044	911
267	1047	906
268	1050	901
269	1053	897
270	1058	894
271	1062	890
272	1066	886
273	1069	882
274	1074	878
275	1077	874
276	1080	870
277	1084	866
278	1088	862
279	1093	858
280	1096	854
281	1099	850
282	1102	845
283	1106	841
284	1109	837
